name	description
forms	used to pass data to a server. A form is essentially a container that can be used to hold any amount of any subset of several types of data.
osx	the desktop operating system from Apple Inc. It was the successor to Mac OS 9 and here the 'X' means 10.  OS X is based upon the NeXTSTEP/OPENSTEP OSes developed in the 1980s and 1990s by NeXT
algorithm	a sequence of well-defined steps that defines an abstract solution to a problem. Use this tag when your issue is related to algorithm design.
linq	a Microsoft .NET Framework component that adds native data querying capabilities to .NET languages.
spring	an open source framework for application development on the Java platform. At its core is rich support for component based architectures, and it currently has over a dozen high
wcf	a part of the .NET Framework that provides a unified programming model for rapidly building service-oriented applications.
oracle	a relational DBMS (Database Management System) created by Oracle Corporation. Do NOT use this tag for other DBMS servers owned by Oracle (for instance MySQL, TimesTen and Berkeley DB)
swing	the primary user-interface toolkit in Java and is shipped with the standard Java SDK. It is contained within the package `javax.swing`.
web-services	a software system designed to support interoperable machine-to-machine interaction over the World Wide Web.
git	"an open-source DVCS (Distributed Version Control System).
"
perl	a high-level, general-purpose, interpreted, dynamic programming language.
visual-studio	an integrated development environment (IDE) from Microsoft. It supports many different programming languages.
sql-server-2008	for questions specific to the 2008 version of Microsoft's SQL Server.
excel	a commercial spreadsheet application written and distributed by Microsoft for Microsoft Windows and Mac OS X. If your question is about programming Excel in VBA then also tag it [ta
actionscript-3	the open source object oriented programming (OOP) language of the Adobe Flash and AIR Platforms.  AS3 is widely used for RIAs, mobile apps, and desktop applications. (ActionScr
apache	The Apache HTTP Server, commonly referred to as Apache, is an open-source HTTP server for modern operating systems including UNIX, its variants and Windows. Apache is a secure, efficient and extensibl
entity-framework	a set of Object-Relational-Mapping (ORM) tools for the .NET  Framework, since version 3.5 SP1.
node.js	an event-based, asynchronous I/O framework that uses Google's V8 JavaScript engine. Node.js is commonly used for heavy client-server JavaScript applications.
ipad	a tablet computer designed by Apple running the iOS operating system. iPad applications are usually written in Objective-C in the Xcode IDE, although it is also possible to use other tools to 
hibernate	"a collection of related projects enabling developers to utilize POJO-style domain models in their applications in ways extending well beyond Object/Relational Mapping.
"
cocoa-touch	The Cocoa Touch frameworks that drive iOS apps share many proven patterns found on the Mac, but were built with a special focus on touch-based interfaces and optimization.
cocoa	"Apple's application-development framework for Mac OS X, consisting of Foundation, Application Kit, and Core Data. Use the ""cocoa-touch"" tag for iOS questions."
flash	a cross-platform multimedia runtime used to embed animations, video, and interactive applications into web pages.
bash	a successor to the Bourne shell (sh). Bash is the default shell in many Linux distributions.
silverlight	Microsoft's cross-browser, cross platform plug-in for media experiences and rich interactive applications.
api	API stands for Application Programming Interface.  A program's API defines the proper way for a developer to request services from that program.
qt	a cross-platform application development framework widely used for the development of GUI programs.
jquery-ui	the official jQuery user interface library. It provides interactions, widgets, effects, and theming for creating highly interactive web applications.
file	A block of arbitrary information, or resource for storing information, accessible by the string-based name or path. Files are available to computer programs and are usually based on some kind of persi
sqlite	a software library that implements a self-contained, serverless, zero-configuration, transactional SQL database engine.
list	list may refer to: a linked list (an ordered set of nodes, each referencing its successor), or a form of dynamic array. Not to be used for HTML lists, use [html-lists] instead.
delphi	a language for rapid development of native Windows, OS X and iOS applications through use of Object Oriented Pascal. The name also refers to the Delphi language (a modern evolution of Object
tsql	T-SQL (Transact Structured Query Language) is the extension of SQL functionality supported by Sybase ASE and Microsoft SQL Server.
security	"used for topics relating to application security and attacks against software.
If your question is not about a specific programming problem, please consider asking it at security.stackexc"
matlab	a high-level language and interactive programming environment for numerical computation and visualization developed by MathWorks. 
.htaccess	Directory-level configuration file used by Apache web servers. 
codeigniter	an open-source PHP web development framework created by EllisLab Inc. The framework implements a modified version of the Model-View-Controller design pattern. Use this tag for questions
flex	a framework for developing Rich Internet Applications that run in Flash Player or Adobe Air. 
function	A function (also called a procedure, method, subroutine, or routine) is a portion of code intended to carry out a single, specific task.
class	A template for creating new objects that describes the common state(s) and behavior(s).
internet-explorer	Internet Explorer (commonly abbreviated to IE or MSIE) is a web browser developed by Microsoft and is included as part of Microsoft Windows.
google-app-engine	a cloud computing technology for hosting web applications in Google-managed data centers. Google App Engine is a Platform as a Service (PaaS) offering for Java, Python, Go (experi
oop	"a programming paradigm using ""objects"": data structures consisting of data fields and methods together with their interactions. "
unit-testing	a method by which individual units of source code, sets of one or more computer program modules together with associated control data, usage procedures, and operating procedures, are t
jsp	a server side technology used for presentation layer for the web applications. 
mongodb	a scalable, high-performance, open source, document-oriented database.  It supports a large number of languages and application development platforms.  
postgresql	"an open-source, object-relational database management system (ORDBMS) available for many platforms including Linux, UNIX, MS Windows and Mac OS X.

Please mention your PostgreSQL versi"
validation	used to check data to make sure it fits whatever required specifications are set for it.
debugging	a methodical process of finding and reducing the number of bugs, or defects, in a computer program.
parsing	Parsing refers to breaking an artifact into its constituent elements and capturing the relationship between those elements. This tag isn't for questions about the hosted service Parse.com (use [parse.
google-maps	The Google Maps family of APIs lets you embed the functionality of Google Maps into your own website and applications.
sockets	An endpoint of a bidirectional inter-process communication flow. This often refers to a process flow over a network connection, but by no means is limited to such.
http	an application level network protocol that is used for the transfer of content on the World Wide Web.
css3	The third and last edition of the Cascading Style Sheets styling language (often shortened to CSS3) brings together powerful visual capabilities and versatile design manipulation techniques.
shell	The term 'shell' refers to a general class of text-based command interpreters most often associated with the Unix & Linux operating systems.  
xaml	Extensible Application Markup Language (XAML) is an XML language used for defining user interfaces in WPF, Silverlight, Window Phone and Windows Store apps.
windows-phone-7	"Microsoft's mobile operating system and software development platform. Use this tag for questions specific to Version 7.x

"
scala	a general purpose programming language principally targeting the Java Virtual Machine. Designed to express common programming patterns in a concise, elegant, and type-safe way, it fuses both 
magento	an e-commerce platform written in PHP atop the Zend framework, available under both open-source and commercial licenses.
winapi	the core set of application programming interfaces (APIs) available in the Microsoft Windows operating systems. This tag is for questions about developing native Windows applications 
vba	an event-driven, object-oriented programming language for writing macros, used for the entire Office suite. If your question is specifically about programming Ex
email	Method of exchanging digital messages from an author to one or more recipients.
android-layout	An Android layout defines everything the user can see and touch.
uitableview	a class used for displaying and editing hierarchical lists on iOS.
google-chrome	a web browser available on mobile, TV, and desktop platforms. Developed by Google, it uses the Blink layout engine and application framework.
jquery-ajax	jQuery JavaScript Library suite for AJAX requests. A full set of functions that allows to load data from the server using asynchronous HTTP requests, without a browser page refresh. 
templates	"is used in multiple contexts: generic programming (especially C++), and data/document generation using template engines.
"
events	a way for a class to provide notifications to clients of that class when some interesting thing happens to an object
jsf	"a model-view-presenter framework typically used to create web applications.

Using the standard components and render kit, stateful HTML views can be defined using JSP or F"
rest	a style of software architecture for distributed hypermedia systems such as the World Wide Web. It has increased in popularity relative to RPC-based architect
svn	a centralized open-source revision control system, founded by CollabNet Inc. and maintained by The Apache Software Foundation.
url	a Uniform Resource Identifier (URI) that specifies where an identified resource is available and the mechanism for retrieving it.
c#-4.0	C# 4.0 introduced features like dynamic objects, COM interoperability improvements, and optional and named parameters. Use this tag if your question specifically pertains to C# 4.0 specific features. 
sql-server-2005	For questions specific to the 2005 version of Microsoft's SQL Server.
zend-framework	an open source, object-oriented web application framework implemented in PHP 5 and licensed under the New BSD License.
listview	a graphical screen control or widget provided by UI libraries in majority of modern operating systems.
table	a data structure which stores data in rows and columns. This tag is extremely ambiguous. Consider using other tags instead. For questions regarding the design of database tables, consider u
session	A session refers to all the requests that a single client makes to a server. A session is specific to the user and for each user a new session is created to track all the request from that user. 
variables	a named data storage location in memory. Using variables, a computer program can store numbers, text, binary data, or a combination of any of these data types. They can be passed around 
maven	a software project management and comprehension tool. This tag is for questions that don't relate to a specific maven version.
facebook-graph-api	a graph-db style programming interface for languages like PHP, ActionScript, JavaScript etc. 
cakephp	a rapid development framework for PHP that provides an extensible architecture for developing, maintaining, and deploying applications. It uses commonly known design patterns like MVC and O
unix	a general purpose OS that was developed by Bell Labs in the late 1960s and today exists in various versions. It is known for its large collection of simple command-line ut
date	a position on a calendar, which usually refers to a day, month and year.
firefox	A free, open source and cross-platform web browser created by Mozilla.
java-ee	a specification defining a collection of Java-based technologies and how they interoperate. Java EE specifies server and client architectures and uses profiles to 
visual-c++	"a C and C++ compiler for Windows. The most recent version of the compiler is Visual C++ 2012, which is available in both commercial editions and in a free Express Edition.

T"
sorting	the process of applying some order to a collection of items.
exception	a rarely occurring (exceptional!) condition that requires deviation from the program's normal flow. Normally, an exception should not result in total failure, but instead be attended b
nhibernate	"a mature, open source object-relational mapper (ORM) for the .NET framework.
"
visual-studio-2008	refers to the Visual Studio line of software development products from Microsoft, the 2008 version.
ms-access	"a rapid application database development and reporting tool.

"
jquery-mobile	a touch-optimized web framework for smartphones and tablets. It provides a unified user interface system across all popular mobile device platforms, built on jQuery.
loops	a type of control flow structure in programming in which a series of statements may be executed repeatedly until some condition is met.
dom	The Document Object Model - specifically, the XML / HTML document object model. Use this tag on questions regarding the interaction of other languages with such markup via these models. Do not use it 
gwt	a development toolkit for building and optimizing complex browser-based applications. Its goal is to enable productive development of high-performance web appl
asp.net-mvc-4	the fourth major version of the ASP.NET Model-View-Controller platform for web applications.
sharepoint	"For SharePoint-specific questions, please see the SharePoint Stack Exchange (http://sharepoint.stackexchange.com) site. Use this tag for programming questions which may involve SharePoint.
Microsoft "
datetime	A DateTime object in many programming languages describes a date and a time of day.  It can express either an instant in time or a position on a calendar, depending on the context in which it is used 
search	for questions about search algorithms, tools, and technologies.
google	DO NOT USE THIS TAG! Please use a more specific tag, such as [google-search] or [google-calendar].
generics	a form of parametric polymorphism found in a range of languages, including .NET languages and in Java. 
design-patterns	a general reusable solution to a commonly occurring problem in software design.
authentication	commonly understood as the act of asserting a user's or entity's identity, although in the wider sense it can refer to asserting the truthfulness of any kind of claim. Authentication
tomcat	an open source Servlet Container and is developed by the Apache Software Foundation (ASF).
xslt	a transformation language for XML designed to transform structured documents into other formats (such as XML, HTML, and plain text). Questions should use the xslt-1.0, xslt-2.0, or xslt-3.0 ta
object	any entity that can be manipulated by commands in a programming language. An object can be a value, a variable, a function, or a complex data-structure. In object-oriented programming, an
math	the study of quantity, structure, space, and change.  Any math questions on this site should be programming related.
opengl	a graphics standard and API which is platform independent and available for desktop, workstation and mobile devices. It is designed to be easy to accelerate with dedicated computer hardware,
caching	a mechanism for temporarily storing (caching) documents or data, to reduce access time.
iis	a web server and a set of feature extension modules created by Microsoft for use with Microsoft Windows.
pointers	"a data type that ""points to"" another value stored in memory using its address."
testing	any activity aimed at evaluating an attribute or capability of a program or system and determining that it meets its required results.
servlets	programs that run on a Web or Application server and act as a middle layer between a request coming from a Web browser or other HTTP client and databases or applications on the HTTP serve
networking	A computer network allows sharing of resources and information among interconnected devices which use a common hierarchy of protocols to communicate.
select	a SQL keyword used to query data. 'select()' is also a programming function for triggering code based on file handle or other system activity. Not to be confused with the HTML tag `<select>`
animation	the rapid display of a sequence of visuals in order to create an illusion of movement or change.
design	the act of making particular choices about how best to structure a program, to achieve goals of reliability, maintainability, correctness or ease of use.
grails	a web application framework that uses Groovy and Java. The framework is oriented around high-productivity application development, and uses common Java technologies such as Hibernate and Spr
div	The `<div>` element infers no special meaning. It is a semantically neutral element that is often used to group content for formatting with styles, and for content which cannot be semantically describ
pdf	an open standard for electronic document exchange maintained by the International Organization for Standardization (ISO). Questions can be about creating, reading, ed
symfony2	an open source PHP web development framework for PHP 5.3.3+ focusing on easy and fast development cycles and including state-of-the-art design patterns and programming philosophies.
phonegap	an open-source, cross-device mobile development platform that allows developers to create mobile applications using HTML, JavaScript, and CSS that can be deployed to each device, rather th
drupal	an open source CMS framework written in PHP. Consider posting your question directly on http://drupal.stackexchange.com/ instead of using this tag.
twitter-bootstrap	"a front-end framework from Twitter designed to kick-start development of webapps and sites. Use this tag and NOT ""bootstrap"" to ask a question about this framework."
post	one of the HTTP protocol methods; it is used when the client needs to send data to the server, such as when uploading a file, or submitting a completed form.
web-applications	"applications that are accessed over the ""web"", which can be over Internet, or Intranet i.e. an internal network"
button	for questions about buttons, which are simple elements in graphical user interfaces that take mouse clicks as input.
opencv	a cross-platform library of programming functions for real time computer vision. It was officially launched by Intel in 1999 and is now supported by Willow Gara
mvc	an architectural pattern used in software engineering. For Microsoft ASP.NET MVC-related questions, use the more specific [asp.net-mvc] tag instead, if applicable.
core-data	Apple's object-persistence framework for Cocoa and Cocoa Touch for managing model objects of a MVC (model-view-controller) design.
haskell	an advanced functional programming language, featuring strong static typing, lazy evaluation, extensive parallelism and concurrency support, and unique abstraction capabilities.
spring-mvc	Based on the Model-View-Controller (MVC) pattern, Spring MVC helps you build web-based applications that are flexible and decoupled from the underlying view technologies.
redirect	A response by a webserver, that asks the user agent to not show the response body, but instead request a different resource.
inheritance	the system in object oriented programming that allows objects to support operations defined by anterior types without having to provide their own definition. It is the major vector for 
mod-rewrite	"URL rewriting module for the Apache web server. It is commonly used for so-called ""pretty"" URLs, but also provides the power and flexibility to perform various request handling tasks beyond simple sub"
ios5	The version of iOS (formerly iPhone OS) was released by Apple on Oct 13, 2011. iOS 5 runs on iPhone 3GS, iPhone 4, iPhone 4S, iPod Touch 3rd and 4th generation, as well as all iPad models
mobile	 should be used to mark questions regarding mobile computing issues. Mobile computing is a form of humancomputer interaction by which a computer is expected to be transported during nor
memory	for memory issues in programming.  For installing memory, etc. see ServerFault.com or SuperUser.com
optimization	the act of improving a method or design. In programming, optimization usually takes the form of increasing the speed of an algorithm, or reducing the resources it requires.
database-design	"the process of specifying the logical and/or physical parts of a database. The goal of database design is to make a representation of some ""universe of discourse"" - the types of fac"
jpa	The Java Persistence Architecture API (JPA) is a Java specification for accessing, persisting, and managing data between Java objects/classes and a relational database. It is part of the EJB 3.0 speci
powershell	a command prompt and a scripting environment designed for Windows system administration.
layout	is for questions about the placement, alignment and justification of objects with respect to a containing element.
activerecord	a pattern that combines domain logic with storage abstraction in single object.
audio	Programming audio hardware, and the various audio formats or containers.
gui	Graphical User Interface development for applications or web sites.  This tag should usually be combined with other tags specifying the programming language, platform or framework, if applicable.
gcc	the GNU Compiler Collection. It's the de facto standard C compiler on Linux and supports many other languages and platforms as well.
ubuntu	a free desktop and server operating system based on Debian GNU/Linux. Note that http://askubuntu.com is specifically dedicated to Ubuntu questions.
iframe	"an HTML element that creates an ""inline frame"" within a document."
linq-to-sql	a component of .NET Framework version 3.5 that provides a run-time infrastructure for managing relational data as objects.
logging	the process of recording events in a computer program, usually with a certain scope, in order to provide an audit trail that can be used to understand the activity of the syst
gridview	a control for displaying and manipulating data from a variety of data sources.
vim	"a free and open-source modal text editor available for most major platforms. It allows high efficiency in many text editing tasks but has a steep learning curve. To learn the basics, try "":help"
extjs	a JavaScript framework for building Rich Internet Applications (RIAs) that run in web browsers.
angularjs	an open-source JavaScript framework. Its goal is to augment browser-based applications with ModelViewController (MVC) capability, reduce the amount of JavaScript needed to make web appl
stored-procedures	A subroutine available to applications accessing a relational database system.
serialization	the process by which an object is converted into a format that can be stored and later retrieved.
memory-management	the act of managing computer memory. The essential requirement of memory management is to provide ways to dynamically allocate portions of memory to programs at their request, and
join	a general operation in relational algebra for a combining operation on two or more relations in a relational database system. `JOIN` is also keyword of the SQL language for performing a join
image-processing	Algorithms which extract and manipulate information from digital images.
video	should refer to creating, editing, and displaying video on electronic devices. 
backbone.js	a JavaScript library that provides structure to RESTful web applications.
dynamic	a widely used term that, in general, describes a decision made by the program at run-time rather than at compile time.
data-binding	A general technique that binds two data/information sources together and maintains them in sync.
user-interface	"The system through which people interact with a computer. UI stands for User Interface.

There's now a Stack Exchange site for UI, Interaction and User Experience design: ux.stackexchange.com
"
android-intent	Questions regarding practical and advanced use of Intents, Intent Extras and Pending Intents to start an Activity, Service or to respond to a system or application event/notification via a BroadcastRe
razor	a template language used by ASP.NET Web Pages and ASP.NET MVC (since version 3). It supports seamless transitions between HTML markup and C# or VB code. Transitions between markup and code ar
file-upload	the process of sending files to your web server using standard forms.
csv	a list of plain text values delimited by commas, or a file containing one or more lists in that format.
boost	"a large collection of high-quality libraries intended for use in C++. Boost is free, and is often considered a ""second standard library""."
plugins	a set of software components that adds specific abilities to a larger software application. If supported, plug-ins enable customizing the functionality of an application.
cookies	a piece of data stored by the user's web browser. Unless otherwise specified, cookies can be created, read, modified and deleted both by JavaScript and from server-side through HTTP 
soap	a protocol specification for exchanging structured information in the implementation of Web Services.
excel-vba	the dominant programming language for Microsoft Office Applications [Word, Excel, Access...]. 
jquery-plugins	Custom add-ons and plugins for the jQuery library. jQuery functions and features not included in the standard jQuery library.
text	a sequence of characters that is most often used to represent a cohesive piece of information.
reflection	the process by which a program can observe and modify its own structure and behavior at runtime.
python-2.7	In the 2.x series of the Python programming language, 2.7 is the latest, and last, major release. 
curl	a library and command-line tool for transferring data using several protocols such as HTTP, FTP and Telnet.
jsf-2	a model-view-presenter framework typically used to create web applications. Version 2.x is a major step ahead compared to JSF 1.x, significantly expanding the standard set of
assembly	"Assembly language (asm) programming questions. Also specify the processor or instruction set your question is related to as well as what assembler you are using.

**NOTE**: For .NET assemblies, use "
azure	a Platform as a Service (PaaS) and Infrastructure as a Service (IaaS) cloud computing platform by Microsoft. Users of the platform can deploy their applications onto cloud hosting ben
dll	a module that contains functions and data that can be used by another module (application or DLL). It is Microsoft's implementation of the shared library concept in the Mi
netbeans	NetBeans refers to both a platform framework for Java desktop applications, and an integrated development environment (IDE) for developing with Java and other languages.
visual-studio-2012	the version of Microsoft's Visual Studio product line which follows Visual Studio 2010.
browser	a software application for retrieving, presenting, and traversing information resources on the World Wide Web.
ssl	a cryptographic protocol that provides communications security over the Internet. The more modern version of this protocol is Transport Layer Security (TLS), specified by
canvas	a drawing element introduced to web development with HTML5. For Android or WPF, use android-canvas or WPF-controls.
google-maps-api-3	Google Maps JavaScript API Version 3 lets you embed the functionality of Google Maps into your own website.  Version 3 provides greatly improved support for mobile devices. Ask non-programming and lic
xpath	to address parts of an XML document. It also provides basic facilities for manipulation of strings, numbers and booleans. XPath uses a compact, non-XML syntax. XPath op
encryption	"the process of transforming information (called plaintext) using an algorithm (called cipher) to make it unreadable to anyone except those with special knowledge (often called a key).
C"
if-statement	a control structure in many programming languages that changes the execution flow depending on a condition.
mvvm	an architectural design pattern that separates the page (the View) from the data (the Model) by way of its presentation logic (its ViewModel).
heroku	a cloud platform for Ruby, Node.js, Clojure, Python, PHP and JVM-based (Java, Scala, etc.) applications that features a Git-based deployment strategy, a large number 
deployment	A series of activities that makes a program available for use (usually in test or production environments)
javascript-events	Creating and handling JavaScript events inline in HTML or through a script.
jdbc	the base API which enables interacting with SQL database servers by executing SQL statements using the Java programming language.
script	A small program written to be read and executed by a command interpreter or another scripting language.
twitter	"a microblogging service that lets users post ""tweets"" of up to 140 characters. These can also be posted via its API (http://dev.twitter.com)."
selenium	a portable software testing framework for web applications. It provides a record/playback tool for authoring tests without learning a test scripting language and a test domain specific lan
data-structures	a way of organizing data in a fashion that allows particular properties of that data to be queried and/or updated efficiently.
file-io	input/output that involves the file system.  This could include performing operations on directories and files, such as creation and deletion, reading files, and writing output to files.
asynchronous	"simply allowing some portions of code to be executed on separate threads. 

It makes your applications perform better, be more responsive, and use the resources of the sy"
data	any form of information that can be used by a process, service, or application.
service	a long-running executable that performs specific functions and which is designed not to require user intervention.
asp.net-mvc-2	the second major version of the ASP.NET MVC platform, it has since been outdated by ASP.NET MVC 3.
graphics	visual presentations. There are many types of graphics, for example, photographs, drawings, line art, graphs, and charts. Computer graphics primarily consist of bitmap and vector graphics
emacs	an extensible, customizable, self-documenting text editor written in C with Emacs Lisp as its extension language.
ios6	iOS 6 was announced by Apple on June 11, 2012 and released on September 19th, 2012. It runs all iPhones from 3GS and up.
drop-down-menu	A user interface control GUI element, similar to a list box, which allows the user to choose one value from a list. When a drop-down list is inactive, it displays a single value. When activated, it di
version-control	the management of changes to documents, programs, and other information stored as computer files.
c++11	the name of the C++ standard, approved in 2011. It replaces the previous C++03 standard, adding various core language changes and fixes, and an improved and expanded standard library.
blackberry	a line of mobile e-mail and smartphone devices developed and designed since 1999 by the Canadian company of the same name (previous called Research In Motion (RIM)). (Consider adding tag
view	for questions about database view or UI / architectural view. See also the following tags: views, sql-view, uiview.
for-loop	a control structure used by many programming languages to iterate over a range.  Depending on the language this may be over a range of integers, iterators, etc.
binding	Binding provides a simple and consistent way for applications to present and interact with data.
ant	a declarative, XML-based build tool for Java projects.  It provides a rich set of standard tasks for performing most common build operations, such as compilation w
unicode	a standard for the encoding, representation and handling of text with the intention of supporting all the characters required for written text incorporating all writing systems, technical s
encoding	a set of predefined rules to reversibly transform a piece of information in a certain representation into a completely different representation. The other way round is called decoding.
windows-8	The successor to Microsoft Windows 7 that focuses on a new interface style for touch-based devices and tablets.
methods	code that performs a task and is associated with a class or an object.
collections	Collections API's provide developers with a set of classes and interfaces that makes it easier to handle collections of objects.
uiview	an iOS class which is used to display all user interface elements. All UI elements are either subclasses of UIView or are contained within a UIView.
web	"The World Wide Web (abbreviated as WWW or W3, and commonly known as ""the Web"" or in general ""THE INTERNET"") is a technology that connects various kind of systems with interlinked hypertext documents a"
recursion	a method of problem solving where the solution to a problem depends on solutions to smaller instances of the same problem.
input	usually related to the user input, i.e. to the data that user effectively supply to the running application. In many systems this input is considered to be potentially dangerous and needs to 
random	for questions pertaining to random numbers, whether pseudo random or truly random.
windows-7	a past release of Microsoft Windows, succeeded by Windows 8. It was released to manufacturing on July 22, 2009. Windows 7 is the successor to Windows Vista, which was released three years
hadoop	an Apache open-source project that provides software for reliable and scaleable distributed computing. The project itself includes a variety of other complimentary additions.
joomla	a free and open source Content Management System (CMS) for publishing content on the World Wide Web and intranets and a modelviewcontroller (MVC) Web application framework that can also b
command-line	a string given to a command interpreter that tells it actions to take, such as running programs or copying files. The interpreter processes command lines with escapes and substitutio
login	A login or logon (also called logging in or on and signing in or on) is the process by which individual access to a computer system is controlled by identification of the user using credentials provid
opengl-es	Subset of the OpenGL 3D graphics API designed for embedded devices such as mobile phones.
uitableviewcell	"The UITableViewCell class defines the attributes and behavior of the cells that appear in iOS UITableView objects.

"
hash	any well-defined procedure or mathematical function that converts a large amount of data into a small datum, usually a single integer.
time	Measuring the time it takes to perform an operation. Also, questions related to obtaining the current time, calculating on times, formatting and parsing times, etc.
printing	a process for reproducing text and image, typically with ink on paper using a printer.
syntax	In computer science, the syntax of a programming language is the set of rules that define the combinations of symbols that are considered to be correctly structured programs in that language. 
architecture	Architecture encompasses the process, artifacts and high-level structure of a solution.
orm	a technique for mapping between object-oriented systems and relational databases.
graph	"A graph can refer to a graphic (such as a chart or diagram) showing or displaying the relationship between two or more variables used, for instance, in visualising scientific data.
"
iphone-sdk-4.0	Refers to the iPhone software development kit, version 4.0.
batch-file	Script files containing a series of commands that are executed by the Windows command-line interpreter.
types	used to enforce levels of abstraction in programs.
dictionary	a mapping from keys to values allowing efficient value lookup given the key.
