Date,Entries / Debit,Entries / Credit,Journal,Entries / Name,Entries / Account,Period
2013-08-19,,199.66,Bank,BANKCARD-8566 MTOT DEP 130818 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-16,50,,Bank,BILL PAY VICKI FRENCH RECURRINGNo account number ON 08-16,10002 Bank,08/2013
2013-08-16,,373.43,Bank,BANKCARD-8566 BTOT DEP 130815 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-15,100,,Bank,RECURRING TRANSFER TO ANIMAL ELEMENT LLC BUSINESS MARKET RATE SAVINGS REF #OPEMXD9FXK XXXXXX6133,10002 Bank,08/2013
2013-08-15,,666.97,Bank,Animal Element 3104000256 130814 100144411629 Animal Element 0,10002 Bank,08/2013
2013-08-15,,2691.56,Bank,BANKCARD-8566 BTOT DEP 130814 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-14,322.19,,Bank,BILL PAY Old Dominion Fre ON-LINE No Account Number ON 08-14,10002 Bank,08/2013
2013-08-14,269.04,,Bank,BILL PAY UNISHIPPERS ON-LINE xxxxxx18731 ON 08-14,10002 Bank,08/2013
2013-08-14,105.78,,Bank,RECUR DEBIT CRD PMT08/13 T-MOBILE RECURRING 800-937-8997 WA 425907XXXXXX3535 003225433770826 ?MCC=4814,10002 Bank,08/2013
2013-08-13,250,,Bank,WF Direct Pay-Payment- Tran ID DP037941758,10002 Bank,08/2013
2013-08-13,,287.4,Bank,Animal Element 3104000256 130812 100144084954 Animal Element 0,10002 Bank,08/2013
2013-08-13,,1673.08,Bank,Animal Element 3104000256 130812 100144015181 Animal Element 0,10002 Bank,08/2013
2013-08-12,10,,Bank,RECUR DEBIT CRD PMT08/11 BACKBLAZE BACKUP 650-352-3738 CA 425907XXXXXX3535 283223459624097 ?MCC=5734,10002 Bank,08/2013
2013-08-12,29,,Bank,CHECK CRD PURCHASE 08/09 D&B*HOOVERS 866-307-3812 TX 425907XXXXXX3535 083221776681183 ?MCC=7399,10002 Bank,08/2013
2013-08-12,,108.95,Bank,BANKCARD-8566 MTOT DEP 130811 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-12,,213.87,Bank,BANKCARD-8566 MTOT DEP 130811 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-09,233.08,,Bank,WF Direct Pay-Payment- Tran ID DP037877402,10002 Bank,08/2013
2013-08-09,,108.95,Bank,BANKCARD-8566 MTOT DEP 130808 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-08,4,,Bank,DIRECT PAY INDIVIDUAL PYMT TRANS,10002 Bank,08/2013
2013-08-08,10,,Bank,DIRECT PAY MONTHLY BASE,10002 Bank,08/2013
2013-08-08,14.95,,Bank,QUICKBOOKS BANKING,10002 Bank,08/2013
2013-08-08,,99.45,Bank,BANKCARD-8566 MTOT DEP 130807 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-08,,1044.26,Bank,Animal Element 3104000256 130807 100143679425 Animal Element 0,10002 Bank,08/2013
2013-08-07,7.95,,Bank,"Bluepay,Inc. 8667398324 130806 100143571470 Animal Element 000",10002 Bank,08/2013
2013-08-07,18.94,,Bank,"Bluepay,Inc. 8667398324 130806 100143570018 Animal Element 000",10002 Bank,08/2013
2013-08-07,1086,,Bank,BILL PAY TENNESSEE FARMER ON-LINE No Account Number ON 08-07,10002 Bank,08/2013
2013-08-07,,147.67,Bank,Animal Element 3104000256 130806 100143558230 Animal Element 0,10002 Bank,08/2013
2013-08-07,,618.3,Bank,BANKCARD-8566 BTOT DEP 130806 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-06,184.5,,Bank,BILL PAY DFW DISTRIBUTION ON-LINE No account number ON 08-06,10002 Bank,08/2013
2013-08-06,54.63,,Bank,BILL PAY GRAPHIC PRODUCTI ON-LINE No account number ON 08-06,10002 Bank,08/2013
2013-08-06,0.67,,Bank,CHECK CRD PURCHASE 08/06 Amazon Web Service aws.amazon.co WA 425907XXXXXX3535 083218111901103 ?MCC=7399,10002 Bank,08/2013
2013-08-06,248,,Bank,WF Direct Pay-Payment- Tran ID DP037716876,10002 Bank,08/2013
2013-08-06,232,,Bank,CHECK CRD PURCHASE 08/05 NATURVET 888-628-8783 CA 425907XXXXXX3535 083217847810277 ?MCC=5199,10002 Bank,08/2013
2013-08-06,35.24,,Bank,"CHECK CRD PURCHASE 08/05 RINGCENTRAL, INC 650-4724100 CA 425907XXXXXX3535 383217450579922 ?MCC=4814",10002 Bank,08/2013
2013-08-06,,297.06,Bank,BANKCARD-8566 MTOT DISC 130731 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-06,,400,Bank,Animal Element 3104000256 130805 100143183508 Animal Element 0,10002 Bank,08/2013
2013-08-06,,971.98,Bank,BANKCARD-8566 MTOT DEP 130805 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-06,,1454.77,Bank,Animal Element 3104000256 130805 100143434710 Animal Element 0,10002 Bank,08/2013
2013-08-05,297.06,,Bank,BANKCARD-8566 MTOT DISC 130731 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-05,297.06,,Bank,BANKCARD-8566 MTOT DISC 130731 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-05,180,,Bank,WF Direct Pay-Payment- Tran ID DP037689102,10002 Bank,08/2013
2013-08-05,53.54,,Bank,CHECK CRD PURCHASE 08/03 TURBOBRIDGE 888-666-3620 MD 425907XXXXXX3535 163215294594546 ?MCC=4814,10002 Bank,08/2013
2013-08-05,,43.95,Bank,BANKCARD-8566 MTOT DEP 130802 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-05,,710.04,Bank,BANKCARD-8566 BTOT DEP 130804 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-02,7.95,,Bank,ANIMAL ELEMENT Svc Fees 130801 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-02,,99.45,Bank,BANKCARD-8566 MTOT DEP 130801 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-01,1668.85,,Bank,CHECK CRD PURCHASE 07/31 STARWEST BOTANICAL 916-6388100 CA 425907XXXXXX3535 163210741028653 ?MCC=5199,10002 Bank,08/2013
2013-08-01,1690.45,,Bank,CHECK CRD PURCHASE 07/30 DIECUTSTICKERS.COM 206-8163421 WA 425907XXXXXX3535 083212010037077 ?MCC=5999,10002 Bank,08/2013
2013-08-01,,626.35,Bank,BANKCARD-8566 MTOT DEP 130731 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-01,,1982.32,Bank,Animal Element 3104000256 130731 100142693995 Animal Element 0,10002 Bank,08/2013
2013-07-31,4956.56,,Bank,CHASE EPAY 130730 1612578988 CHRISTOPHER H JONES,10002 Bank,07/2013
2013-07-31,2897.42,,Bank,WF Direct Pay-Payment- Tran ID DP037500422,10002 Bank,07/2013
2013-07-31,,99.45,Bank,BANKCARD-8566 BTOT DEP 130730 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-30,,90.85,Bank,BANKCARD-8566 MTOT DEP 130729 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-30,,208.68,Bank,Animal Element 3104000256 130729 100142218485 Animal Element 0,10002 Bank,07/2013
2013-07-29,220,,Bank,WF Direct Pay-Payment- Tran ID DP037411132,10002 Bank,07/2013
2013-07-29,10.17,,Bank,CHECK CRD PURCHASE 07/26 GODADDY.COM 480-5058855 AZ 425907XXXXXX3535 303208074524546 ?MCC=4816,10002 Bank,07/2013
2013-07-29,,214,Bank,BANKCARD-8566 MTOT DEP 130728 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-29,,505.92,Bank,BANKCARD-8566 MTOT DEP 130726 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-26,,776.78,Bank,BANKCARD-8566 MTOT DEP 130725 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-26,5,,Bank,1 CANADIAN DEP ITEMS @ 5.00 PER ITEM,10002 Bank,07/2013
2013-07-25,,319.35,Bank,BANKCARD-8566 MTOT DEP 130724 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-25,,1774.15,Bank,DEPOSIT MADE IN A BRANCH/STORE #633223798,10002 Bank,07/2013
2013-07-24,620.53,,Bank,BILL PAY DFW DISTRIBUTION ON-LINE No account number ON 07-24,10002 Bank,07/2013
2013-07-24,,433.71,Bank,BANKCARD-8566 BTOT DEP 130723 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-23,,323.6,Bank,BANKCARD-8566 MTOT DEP 130722 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-23,,1187.25,Bank,Animal Element 3104000256 130722 100141489075 Animal Element 0,10002 Bank,07/2013
2013-07-22,375,,Bank,KADRI AZHARUDDIN IAT PAYPAL 130722 4X4J279X36EZ8 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-22,,127.9,Bank,BANKCARD-8566 BTOT DEP 130721 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-19,900,,Bank,CHECK CRD PURCHASE 07/18 EQUINE MEDIA WORLD 816-651-3055 MO 425907XXXXXX3535 163199744711924 ?MCC=7311,10002 Bank,07/2013
2013-07-19,15,,Bank,RECUR DEBIT CRD PMT07/18 PAYPAL *TRAVELINGM 402-935-7733 NC 425907XXXXXX3535 083199429006219 ?MCC=7311,10002 Bank,07/2013
2013-07-19,,99.45,Bank,BANKCARD-8566 MTOT DEP 130718 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-18,319.77,,Bank,CHECK CRD PURCHASE 07/17 STARWEST BOTANICAL 916-6388100 CA 425907XXXXXX3535 283197856411385 ?MCC=5199,10002 Bank,07/2013
2013-07-18,181.7,,Bank,CHECK CRD PURCHASE 07/17 NUTRACEUTICALS INT 201-3992333 NJ 425907XXXXXX3535 283198657334872 ?MCC=5499,10002 Bank,07/2013
2013-07-18,,284.01,Bank,Animal Element 3104000256 130717 100141164772 Animal Element 0,10002 Bank,07/2013
2013-07-18,,600.47,Bank,BANKCARD-8566 MTOT DEP 130717 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-17,2000,,Bank,WF Direct Pay-Payment- Tran ID DP037081640,10002 Bank,07/2013
2013-07-17,,268.25,Bank,BANKCARD-8566 BTOT DEP 130716 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-17,,365,Bank,PAYPAL TRANSFER 130717 4X4J279DKSG7G ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-17,,1090.47,Bank,Animal Element 3104000256 130716 100141044158 Animal Element 0,10002 Bank,07/2013
2013-07-16,50,,Bank,BILL PAY VICKI FRENCH RECURRINGNo account number ON 07-16,10002 Bank,07/2013
2013-07-16,,99.45,Bank,BANKCARD-8566 MTOT DEP 130715 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-15,100,,Bank,RECURRING TRANSFER TO ANIMAL ELEMENT LLC BUSINESS MARKET RATE SAVINGS REF #OPEQT5SSTB XXXXXX6133,10002 Bank,07/2013
2013-07-15,72.63,,Bank,CHECK CRD PURCHASE 07/14 TMC*TIME WARNER CO 888-TWCABLE CA 425907XXXXXX3535 083193095237620 ?MCC=4899,10002 Bank,07/2013
2013-07-15,111.83,,Bank,RECUR DEBIT CRD PMT07/13 T-MOBILE RECURRING 800-937-8997 WA 425907XXXXXX3535 003194432561032 ?MCC=4814,10002 Bank,07/2013
2013-07-15,,285.34,Bank,BANKCARD-8566 MTOT DEP 130714 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-15,,1712.45,Bank,BANKCARD-8566 MTOT DEP 130712 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-12,10,,Bank,RECUR DEBIT CRD PMT07/11 BACKBLAZE BACKUP 650-352-3738 CA 425907XXXXXX3535 283192425140955 ?MCC=5734,10002 Bank,07/2013
2013-07-12,,1696.63,Bank,BANKCARD-8566 BTOT DEP 130711 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-11,,43.95,Bank,BANKCARD-8566 MTOT DEP 130710 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-10,1150,,Bank,BILL PAY Berry Accounting ON-LINE No Account Number ON 07-10,10002 Bank,07/2013
2013-07-10,1000,,Bank,WF Direct Pay-Payment- Tran ID DP036832716,10002 Bank,07/2013
2013-07-10,1000,,Bank,"ONLINE TRANSFER TO PUNCHING PRO, LLC. BUSINESS CHECKING XXXXXX1396 REF #IBEJZZKVN8 ON 07/09/13",10002 Bank,07/2013
2013-07-10,,631.07,Bank,BANKCARD-8566 BTOT DEP 130709 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-09,3,,Bank,ONLINE DEP DETAIL & IMAGES,10002 Bank,07/2013
2013-07-09,3,,Bank,DIRECT PAY NONWF BUS PYMT TRANS,10002 Bank,07/2013
2013-07-09,3.5,,Bank,DIRECT PAY INDIVIDUAL PYMT TRANS,10002 Bank,07/2013
2013-07-09,10,,Bank,DIRECT PAY MONTHLY BASE,10002 Bank,07/2013
2013-07-09,14.95,,Bank,QUICKBOOKS BANKING,10002 Bank,07/2013
2013-07-09,,76.97,Bank,Animal Element 3104000256 130708 100140168298 Animal Element 0,10002 Bank,07/2013
2013-07-09,,118.95,Bank,BANKCARD-8566 MTOT DEP 130708 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-09,,1311.5,Bank,Animal Element 3104000256 130708 100140073648 Animal Element 0,10002 Bank,07/2013
2013-07-08,7.95,,Bank,"Bluepay,Inc. 8667398324 130705 100139843741 Animal Element 000",10002 Bank,07/2013
2013-07-08,17.05,,Bank,"Bluepay,Inc. 8667398324 130705 100139844701 Animal Element 000",10002 Bank,07/2013
2013-07-08,352,,Bank,WF Direct Pay-Payment- Tran ID DP036753230,10002 Bank,07/2013
2013-07-08,29.42,,Bank,POS PURCHASE - OFFICE DEPOT 00 HAWTHORNE CA 3535 00000000240488041,10002 Bank,07/2013
2013-07-08,35.24,,Bank,"CHECK CRD PURCHASE 07/05 RINGCENTRAL, INC 650-4724100 CA 425907XXXXXX3535 463186447305151 ?MCC=4814",10002 Bank,07/2013
2013-07-08,,47.95,Bank,BANKCARD-8566 MTOT DEP 130707 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-05,2500,,Bank,CHASE EPAY 130703 1593943908 CHRISTOPHER H JONES,10002 Bank,07/2013
2013-07-05,1500,,Bank,WF Direct Pay-Payment- Tran ID DP036725124,10002 Bank,07/2013
2013-07-05,1000,,Bank,"ONLINE TRANSFER TO PUNCHING PRO, LLC. BUSINESS CHECKING XXXXXX1396 REF #IBE2JQ7XM4 ON 07/05/13",10002 Bank,07/2013
2013-07-05,9.95,,Bank,CHECK CRD PURCHASE 07/03 TURBOBRIDGE 888-666-3620 MD 425907XXXXXX3535 003184303744705 ?MCC=4814,10002 Bank,07/2013
2013-07-05,,2633,Bank,Animal Element 3104000256 130703 100139463992 Animal Element 0,10002 Bank,07/2013
2013-07-03,,528,Bank,BANKCARD-8566 BTOT DEP 130702 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-02,10.25,,Bank,ANIMAL ELEMENT Svc Fees 130701 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-02,273,,Bank,BANKCARD-8566 MTOT DISC 130630 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-02,,99.45,Bank,BANKCARD-8566 MTOT DEP 130701 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-02,,5593.88,Bank,Animal Element 3104000256 130701 100139189650 Animal Element 0,10002 Bank,07/2013
2013-07-01,104,,Bank,CHECK CRD PURCHASE 06/30 INCORP SERVICES IN 702-866-2500 NV 425907XXXXXX3535 083181163406885 ?MCC=7399,10002 Bank,07/2013
2013-07-01,,47.95,Bank,BANKCARD-8566 MTOT DEP 130630 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-07-01,,99.45,Bank,BANKCARD-8566 MTOT DEP 130628 518089424227932 ANIMAL ELEMENT,10002 Bank,07/2013
2013-06-28,3000,,Bank,CHASE EPAY 130627 1590133206 CHRISTOPHER H JONES,10002 Bank,06/2013
2013-06-28,0.37,,Bank,BANKCARD-8566 BTOT ADJ 130627 518089424227932 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-27,500,,Bank,WF Direct Pay-Payment- Tran ID DP036408104,10002 Bank,06/2013
2013-06-27,500,,Bank,"ONLINE TRANSFER TO PUNCHING PRO, LLC. BUSINESS CHECKING XXXXXX1396 REF #IBE5FP8NR3 ON 06/27/13",10002 Bank,06/2013
2013-06-27,,845.67,Bank,Animal Element 3104000256 130626 100138551631 Animal Element 0,10002 Bank,06/2013
2013-06-27,,1476.36,Bank,BANKCARD-8566 MTOT DEP 130626 518089424227932 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-26,,174.58,Bank,BANKCARD-8566 BTOT DEP 130625 518089424227932 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-26,,367.68,Bank,Animal Element 3104000256 130625 100138438439 Animal Element 0,10002 Bank,06/2013
2013-06-24,165,,Bank,WF Direct Pay-Payment- Tran ID DP036290448,10002 Bank,06/2013
2013-06-24,,177.67,Bank,BANKCARD-8566 MTOT DEP 130623 518089424227932 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-24,,463.55,Bank,BANKCARD-8566 MTOT DEP 130621 518089424227932 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-21,312.5,,Bank,BILL PAY D & L Accounting ON-LINE No Account Number ON 06-21,10002 Bank,06/2013
2013-06-20,3019.5,,Bank,BILL PAY TENNESSEE FARMER ON-LINE No Account Number ON 06-20,10002 Bank,06/2013
2013-06-20,772.5,,Bank,WF Direct Pay-Payment- Tran ID DP036205256,10002 Bank,06/2013
2013-06-20,,539.5,Bank,BANKCARD-8566 MTOT DEP 130619 518089424227932 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-19,15,,Bank,RECUR DEBIT CRD PMT06/18 PAYPAL *TRAVELINGM 402-935-7733 NC 425907XXXXXX3535 083169423198182 ?MCC=7311,10002 Bank,06/2013
2013-06-19,,87.9,Bank,BANKCARD-8566 BTOT DEP 130618 518089424227932 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-18,149.99,,Bank,PAYPAL INST XFER 130618 4X4J276JLFGVN ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-18,135.25,,Bank,BILL PAY APP GLOBAL INC. ON-LINE No Account Number ON 06-18,10002 Bank,06/2013
2013-06-18,50,,Bank,BILL PAY VICKI FRENCH RECURRINGNo account number ON 06-18,10002 Bank,06/2013
2013-06-17,199,,Bank,PAYPAL INST XFER 130617 4X4J276GRT8D6 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-17,100,,Bank,RECURRING TRANSFER TO ANIMAL ELEMENT LLC BUSINESS MARKET RATE SAVINGS REF #OPE5FLG57Y XXXXXX6133,10002 Bank,06/2013
2013-06-17,39.35,,Bank,CHECK CRD PURCHASE 06/14 PUREBULK INC 541-6791500 OR 425907XXXXXX3535 083164597729969 ?MCC=5499,10002 Bank,06/2013
2013-06-17,82.36,,Bank,CHECK CRD PURCHASE 06/14 NUTRABIO.COM 888-688-7224 NJ 425907XXXXXX3535 083164582346113 ?MCC=5399,10002 Bank,06/2013
2013-06-17,,954.08,Bank,ANIMAL ELEMENT B:6000 130614 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-17,,1167.5,Bank,BANKCARD-8566 MTOT DEP 130616 518089424227932 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-14,500,,Bank,WF Direct Pay-Payment- Tran ID DP036052422,10002 Bank,06/2013
2013-06-14,500,,Bank,"ONLINE TRANSFER TO PUNCHING PRO, LLC. BUSINESS CHECKING XXXXXX1396 REF #IBEXLZ5PS5 ON 06/14/13",10002 Bank,06/2013
2013-06-14,153.3,,Bank,DEBIT CRD PURCHASE 06/13 CART2CART 1858201640 HK 425907XXXXXX3535 613165549282488 ?MCC=7372,10002 Bank,06/2013
2013-06-14,110.54,,Bank,RECUR DEBIT CRD PMT06/13 T-MOBILE RECURRING 800-937-8997 WA 425907XXXXXX3535 163164424767633 ?MCC=4814,10002 Bank,06/2013
2013-06-14,,90.45,Bank,BANKCARD-8566 MTOT DEP 130613 518089424227932 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-12,10,,Bank,RECUR DEBIT CRD PMT06/11 BACKBLAZE BACKUP 650-352-3738 CA 425907XXXXXX3535 083162424784798 ?MCC=5734,10002 Bank,06/2013
2013-06-12,,1186.67,Bank,BANKCARD-8566 MTOT DEP 130611 518089424227932 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-11,183.75,,Bank,CHECK CRD PURCHASE 06/10 NATURVET 888-628-8783 CA 425907XXXXXX3535 283161844065307 ?MCC=5199,10002 Bank,06/2013
2013-06-10,895.86,,Bank,BANKCARD-8566 MTOT DEP 130607 518089424227932 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-10,2.5,,Bank,DIRECT PAY INDIVIDUAL PYMT TRANS,10002 Bank,06/2013
2013-06-10,10,,Bank,DIRECT PAY MONTHLY BASE,10002 Bank,06/2013
2013-06-10,14.95,,Bank,QUICKBOOKS BANKING,10002 Bank,06/2013
2013-06-07,72.25,,Bank,PAYPAL INST XFER 130607 4X4J275JGDF7L ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-07,534.72,,Bank,WF Direct Pay-Payment- Tran ID DP035817102,10002 Bank,06/2013
2013-06-07,,431.32,Bank,BANKCARD-8566 BTOT DEP 130606 518089424227932 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-07,,634.72,Bank,PAYPAL TRANSFER 130607 4X4J275FZDTP6 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-07,,1049.07,Bank,ANIMAL ELEMENT B:5000 130606 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-06,2000,,Bank,WF Direct Pay-Payment- Tran ID DP035748018,10002 Bank,06/2013
2013-06-06,36.17,,Bank,"CHECK CRD PURCHASE 06/05 RINGCENTRAL, INC 650-4724100 CA 425907XXXXXX3535 303156447472224 ?MCC=4814",10002 Bank,06/2013
2013-06-06,,369.89,Bank,BANKCARD-8566 BTOT DEP 130605 518089424227932 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-06,,419.75,Bank,ANIMAL ELEMENT B:4000 130605 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-05,7.95,,Bank,"Bluepay,Inc. 8667398324 130604 100136085384 Animal Element 000",10002 Bank,06/2013
2013-06-05,7.95,,Bank,"Bluepay,Inc. 8667398324 130604 100136083833 Animal Element 000",10002 Bank,06/2013
2013-06-05,3000,,Bank,CHASE EPAY 130604 1574453281 CHRISTOPHER H JONES,10002 Bank,06/2013
2013-06-05,,1793.48,Bank,BANKCARD-8566 BTOT DEP 130604 518089424227932 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-05,,1893.97,Bank,ANIMAL ELEMENT B:3000 130604 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-04,12.78,,Bank,ANIMAL ELEMENT Svc Fees 130603 ANIMAL ELEMENT,10002 Bank,06/2013
2013-06-04,950,,Bank,WITHDRAWAL MADE IN A BRANCH/STORE,10002 Bank,06/2013
2013-06-04,9.95,,Bank,CHECK CRD PURCHASE 06/03 TURBOBRIDGE 888-666-3620 MD 425907XXXXXX3535 083154300666606 ?MCC=4814,10002 Bank,06/2013
