Date,Entries / Debit,Entries / Credit,Journal,Entries / Name,Entries / Account,Period
2013-08-19,,199.66,Bank,BANKCARD-8566 MTOT DEP 130818 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-16,50,,Bank,BILL PAY VICKI FRENCH RECURRINGNo account number ON 08-16,10002 Bank,08/2013
2013-08-16,,373.43,Bank,BANKCARD-8566 BTOT DEP 130815 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-15,100,,Bank,RECURRING TRANSFER TO ANIMAL ELEMENT LLC BUSINESS MARKET RATE SAVINGS REF #OPEMXD9FXK XXXXXX6133,10002 Bank,08/2013
2013-08-15,,666.97,Bank,Animal Element 3104000256 130814 100144411629 Animal Element 0,10002 Bank,08/2013
2013-08-15,,2691.56,Bank,BANKCARD-8566 BTOT DEP 130814 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-14,322.19,,Bank,BILL PAY Old Dominion Fre ON-LINE No Account Number ON 08-14,10002 Bank,08/2013
2013-08-14,269.04,,Bank,BILL PAY UNISHIPPERS ON-LINE xxxxxx18731 ON 08-14,10002 Bank,08/2013
2013-08-14,105.78,,Bank,RECUR DEBIT CRD PMT08/13 T-MOBILE RECURRING 800-937-8997 WA 425907XXXXXX3535 003225433770826 ?MCC=4814,10002 Bank,08/2013
2013-08-13,250,,Bank,WF Direct Pay-Payment- Tran ID DP037941758,10002 Bank,08/2013
2013-08-13,,287.4,Bank,Animal Element 3104000256 130812 100144084954 Animal Element 0,10002 Bank,08/2013
2013-08-13,,1673.08,Bank,Animal Element 3104000256 130812 100144015181 Animal Element 0,10002 Bank,08/2013
2013-08-12,10,,Bank,RECUR DEBIT CRD PMT08/11 BACKBLAZE BACKUP 650-352-3738 CA 425907XXXXXX3535 283223459624097 ?MCC=5734,10002 Bank,08/2013
2013-08-12,29,,Bank,CHECK CRD PURCHASE 08/09 D&B*HOOVERS 866-307-3812 TX 425907XXXXXX3535 083221776681183 ?MCC=7399,10002 Bank,08/2013
2013-08-12,,108.95,Bank,BANKCARD-8566 MTOT DEP 130811 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-12,,213.87,Bank,BANKCARD-8566 MTOT DEP 130811 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-09,233.08,,Bank,WF Direct Pay-Payment- Tran ID DP037877402,10002 Bank,08/2013
2013-08-09,,108.95,Bank,BANKCARD-8566 MTOT DEP 130808 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-08,4,,Bank,DIRECT PAY INDIVIDUAL PYMT TRANS,10002 Bank,08/2013
2013-08-08,10,,Bank,DIRECT PAY MONTHLY BASE,10002 Bank,08/2013
2013-08-08,14.95,,Bank,QUICKBOOKS BANKING,10002 Bank,08/2013
2013-08-08,,99.45,Bank,BANKCARD-8566 MTOT DEP 130807 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-08,,1044.26,Bank,Animal Element 3104000256 130807 100143679425 Animal Element 0,10002 Bank,08/2013
2013-08-07,7.95,,Bank,"Bluepay,Inc. 8667398324 130806 100143571470 Animal Element 000",10002 Bank,08/2013
2013-08-07,18.94,,Bank,"Bluepay,Inc. 8667398324 130806 100143570018 Animal Element 000",10002 Bank,08/2013
2013-08-07,1086,,Bank,BILL PAY TENNESSEE FARMER ON-LINE No Account Number ON 08-07,10002 Bank,08/2013
2013-08-07,,147.67,Bank,Animal Element 3104000256 130806 100143558230 Animal Element 0,10002 Bank,08/2013
2013-08-07,,618.3,Bank,BANKCARD-8566 BTOT DEP 130806 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-06,184.5,,Bank,BILL PAY DFW DISTRIBUTION ON-LINE No account number ON 08-06,10002 Bank,08/2013
2013-08-06,54.63,,Bank,BILL PAY GRAPHIC PRODUCTI ON-LINE No account number ON 08-06,10002 Bank,08/2013
2013-08-06,0.67,,Bank,CHECK CRD PURCHASE 08/06 Amazon Web Service aws.amazon.co WA 425907XXXXXX3535 083218111901103 ?MCC=7399,10002 Bank,08/2013
2013-08-06,248,,Bank,WF Direct Pay-Payment- Tran ID DP037716876,10002 Bank,08/2013
2013-08-06,232,,Bank,CHECK CRD PURCHASE 08/05 NATURVET 888-628-8783 CA 425907XXXXXX3535 083217847810277 ?MCC=5199,10002 Bank,08/2013
2013-08-06,35.24,,Bank,"CHECK CRD PURCHASE 08/05 RINGCENTRAL, INC 650-4724100 CA 425907XXXXXX3535 383217450579922 ?MCC=4814",10002 Bank,08/2013
2013-08-06,,297.06,Bank,BANKCARD-8566 MTOT DISC 130731 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-06,,400,Bank,Animal Element 3104000256 130805 100143183508 Animal Element 0,10002 Bank,08/2013
2013-08-06,,971.98,Bank,BANKCARD-8566 MTOT DEP 130805 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-06,,1454.77,Bank,Animal Element 3104000256 130805 100143434710 Animal Element 0,10002 Bank,08/2013
2013-08-05,297.06,,Bank,BANKCARD-8566 MTOT DISC 130731 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-05,297.06,,Bank,BANKCARD-8566 MTOT DISC 130731 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-05,180,,Bank,WF Direct Pay-Payment- Tran ID DP037689102,10002 Bank,08/2013
2013-08-05,53.54,,Bank,CHECK CRD PURCHASE 08/03 TURBOBRIDGE 888-666-3620 MD 425907XXXXXX3535 163215294594546 ?MCC=4814,10002 Bank,08/2013
2013-08-05,,43.95,Bank,BANKCARD-8566 MTOT DEP 130802 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-05,,710.04,Bank,BANKCARD-8566 BTOT DEP 130804 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-02,7.95,,Bank,ANIMAL ELEMENT Svc Fees 130801 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-02,,99.45,Bank,BANKCARD-8566 MTOT DEP 130801 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-01,1668.85,,Bank,CHECK CRD PURCHASE 07/31 STARWEST BOTANICAL 916-6388100 CA 425907XXXXXX3535 163210741028653 ?MCC=5199,10002 Bank,08/2013
2013-08-01,1690.45,,Bank,CHECK CRD PURCHASE 07/30 DIECUTSTICKERS.COM 206-8163421 WA 425907XXXXXX3535 083212010037077 ?MCC=5999,10002 Bank,08/2013
2013-08-01,,626.35,Bank,BANKCARD-8566 MTOT DEP 130731 518089424227932 ANIMAL ELEMENT,10002 Bank,08/2013
2013-08-01,,1982.32,Bank,Animal Element 3104000256 130731 100142693995 Animal Element 0,10002 Bank,08/2013
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
